Sport,Dport,SrcBytes,DstBytes,SrcLoad,DstLoad,SrcGap,DstGap,SIntPkt,DIntPkt,SIntPktAct,DIntPktAct,SrcJitter,DstJitter,sMaxPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,Dur,Trans,TotPkts,TotBytes,Load,Loss,pLoss,pSrcLoss,pDstLoss,Rate,Temp,SpO2,Pulse_Rate,SYS,DIA,Heart_rate,Resp_Rate,ST,Attack Category
58109,1111,496,186,251203.0,83734.0,0,0,3.949,1.9315,0.0,0,3.287195,1.8965,310,66,60,60,0.011847,1,7,682,334937.0,0,0.0,0.0,0.0,506.457,27.0,99,72,142,72,71,26,0.36,normal
59895,1111,496,186,205468.0,68489.0,0,0,4.828,2.2935,0.0,0,4.080709,2.2545,310,66,60,60,0.014484,1,7,682,273957.0,0,0.0,0.0,0.0,414.25,27.2,98,73,148,84,73,19,0.3,normal
49587,1111,496,186,244656.0,81552.0,0,0,4.054667,2.627,0.0,0,2.96091,2.547,310,66,60,60,0.012164,1,7,682,326208.0,0,0.0,0.0,0.0,493.259,27.2,98,82,144,78,87,21,0.16,normal
55741,1111,496,186,229188.0,76396.0,0,0,4.328333,2.6885,0.0,0,3.231545,2.5855,310,66,60,60,0.012985,1,7,682,305583.0,0,0.0,0.0,0.0,462.072,27.3,98,73,148,84,73,19,0.3,Spoofing
52694,1111,496,186,203822.0,67941.0,0,0,4.867,2.805,0.0,0,3.725708,2.766,310,66,60,60,0.014601,1,7,682,271762.0,0,0.0,0.0,0.0,410.931,26.5,98,71,134,79,75,20,0.34,normal
53588,1111,496,186,227089.0,75696.0,0,0,4.368333,3.132,0.0,0,3.10192,3.115,310,66,60,60,0.013105,1,7,682,302785.0,0,0.0,0.0,0.0,457.841,27.1,98,80,149,84,77,13,-0.2,normal
59590,1111,496,186,226329.0,75443.0,0,0,4.383,2.293,0.0,0,3.51533,2.275,310,66,60,60,0.013149,1,7,682,301772.0,0,0.0,0.0,0.0,456.308,26.7,99,72,142,72,71,26,0.36,normal
59175,1111,496,186,219518.0,73173.0,0,0,4.519,2.3745,0.0,0,3.679957,2.2565,310,66,60,60,0.013557,1,7,682,292690.0,0,0.0,0.0,0.0,442.576,24.5,97,80,135,75,80,19,0.34,normal
52194,1111,496,186,152811.0,50937.0,0,0,6.491667,4.5215,0.0,0,4.470029,4.4175,310,66,60,60,0.019475,1,7,682,203748.0,0,0.0,0.0,0.0,308.087,27.7,98,73,148,84,73,19,0.3,normal
50849,1111,496,186,226450.0,75483.0,0,0,4.380667,2.985,0.0,0,3.138495,2.947,310,66,60,60,0.013142,1,7,682,301933.0,0,0.0,0.0,0.0,456.552,26.8,99,72,142,72,71,26,0.36,normal
62979,1111,496,186,201149.0,67050.0,0,0,4.931667,4.4285,0.0,0,3.660115,4.3655,310,66,60,60,0.014795,1,7,682,268199.0,0,0.0,0.0,0.0,405.542,27.1,98,75,129,76,71,21,0.24,normal
50484,1111,496,186,15530.0,5177.0,0,0,63.876668,46.0325,0.0,0,25.251672,46.0275,310,66,60,60,0.19163,1,7,682,20707.0,0,0.0,0.0,0.0,31.31,27.0,97,86,144,78,85,20,0.32,Data Alteration
53090,1111,496,186,191629.0,63876.0,0,0,5.176667,3.145,0.0,0,3.870121,3.106,310,66,60,60,0.01553,1,7,682,255505.0,0,0.0,0.0,0.0,386.349,26.7,98,66,134,79,72,13,0.24,normal
60586,1111,496,186,233174.0,77725.0,0,0,4.254333,2.9825,0.0,0,3.04247,2.9385,310,66,60,60,0.012763,1,7,682,310899.0,0,0.0,0.0,0.0,470.109,26.7,99,72,142,72,71,26,0.36,normal
57274,1111,496,186,250885.0,83628.0,0,0,3.954,1.961,0.0,0,3.284711,1.908,310,66,60,60,0.011862,1,7,682,334514.0,0,0.0,0.0,0.0,505.817,27.6,98,73,148,84,73,19,0.3,normal
55854,1111,496,186,165905.0,55302.0,0,0,5.979333,4.494,0.0,0,4.225353,4.426,310,66,60,60,0.017938,1,7,682,221206.0,0,0.0,0.0,0.0,334.485,26.4,97,77,143,78,80,23,0.32,normal
53746,1111,496,186,258401.0,86134.0,0,0,3.839,2.354,0.0,0,2.889105,2.25,310,66,60,60,0.011517,1,7,682,344534.0,0,0.0,0.0,0.0,520.969,26.8,99,72,142,72,71,26,0.36,normal
57395,1111,496,186,231164.0,77055.0,0,0,4.291333,2.903,0.0,0,3.080193,2.885,310,66,60,60,0.012874,1,7,682,308218.0,0,0.0,0.0,0.0,466.056,27.3,99,73,142,72,73,21,0.14,normal
54809,1111,496,186,53664.0,17888.0,0,0,18.485334,13.828,0.0,0,10.377254,13.745,310,66,60,60,0.055456,1,7,682,71552.0,0,0.0,0.0,0.0,108.194,27.6,98,73,134,79,65,18,0.22,normal
61301,1111,496,186,351316.0,117105.0,0,0,2.823667,1.738,0.0,0,2.105425,1.722,310,66,60,60,0.008471,1,7,682,468422.0,0,0.0,0.0,0.0,708.299,24.8,99,71,135,75,72,20,0.14,normal
51198,1111,496,186,30057.0,10019.0,0,0,33.004332,3.2065,0.0,0,42.197625,3.1495,310,66,60,60,0.099013,1,7,682,40076.0,0,0.0,0.0,0.0,60.598,26.6,98,73,148,84,73,19,0.3,normal
58460,1111,496,186,265714.0,88571.0,0,0,3.733333,2.0965,0.0,0,2.910897,2.0355,310,66,60,60,0.0112,1,7,682,354286.0,0,0.0,0.0,0.0,535.714,27.6,98,73,148,84,73,19,0.3,normal
62270,1111,496,186,276683.0,92228.0,0,0,3.585333,2.3845,0.0,0,2.591154,2.3675,310,66,60,60,0.010756,1,7,682,368910.0,0,0.0,0.0,0.0,557.828,24.9,98,81,138,83,84,29,0.14,normal
60168,1111,496,186,316832.0,105611.0,0,0,3.131,1.729,0.0,0,2.44913,1.712,310,66,60,60,0.009393,1,7,682,422442.0,0,0.0,0.0,0.0,638.774,26.7,97,87,143,82,84,16,0.24,normal
62156,1111,496,186,218230.0,72743.0,0,0,4.545667,3.829,0.0,0,3.261988,3.794,310,66,60,60,0.013637,1,7,682,290973.0,0,0.0,0.0,0.0,439.979,24.8,97,76,138,83,71,24,0.24,normal
